uuid,run_name,band,look_angle,polarization,inclination_angle,contains_wake
-1,0.0Calm,L,0.0,vv,30.0,
-1,0.0Calm,L,0.0,vv,40.0,
-1,0.0Calm,L,0.0,vv,50.0,
-1,0.0Calm,L,0.0,vv,60.0,
-1,0.0Calm,L,0.0,hh,30.0,
-1,0.0Calm,L,0.0,hh,40.0,
-1,0.0Calm,L,0.0,hh,50.0,
-1,0.0Calm,L,0.0,hh,60.0,
-1,0.0Calm,L,90.0,vv,30.0,
-1,0.0Calm,L,90.0,hh,30.0,
-1,0.0Calm,L,180.0,vv,30.0,
-1,0.0Calm,L,180.0,vv,40.0,
-1,0.0Calm,L,180.0,vv,50.0,
-1,0.0Calm,L,180.0,vv,60.0,
-1,0.0Calm,L,180.0,hh,30.0,
-1,0.0Calm,L,180.0,hh,40.0,
-1,0.0Calm,L,180.0,hh,50.0,
-1,0.0Calm,L,180.0,hh,60.0,
-1,0.0Calm,L,270.0,vv,30.0,
-1,0.0Calm,L,270.0,hh,30.0,
-1,0.5Head,L,0.0,vv,30.0,
-1,0.5Head,L,0.0,vv,40.0,
-1,0.5Head,L,0.0,vv,50.0,
-1,0.5Head,L,0.0,vv,60.0,
-1,0.5Head,L,0.0,hh,30.0,
-1,0.5Head,L,0.0,hh,40.0,
-1,0.5Head,L,0.0,hh,50.0,
-1,0.5Head,L,0.0,hh,60.0,
-1,0.5Head,L,90.0,vv,30.0,
-1,0.5Head,L,90.0,hh,30.0,
-1,0.5Head,L,180.0,vv,30.0,
-1,0.5Head,L,180.0,vv,40.0,
-1,0.5Head,L,180.0,vv,50.0,
-1,0.5Head,L,180.0,vv,60.0,
-1,0.5Head,L,180.0,hh,30.0,
-1,0.5Head,L,180.0,hh,40.0,
-1,0.5Head,L,180.0,hh,50.0,
-1,0.5Head,L,180.0,hh,60.0,
-1,0.5Head,L,270.0,vv,30.0,
-1,0.5Head,L,270.0,hh,30.0,
-1,0.5Following,L,0.0,vv,30.0,
-1,0.5Following,L,0.0,vv,40.0,
-1,0.5Following,L,0.0,vv,50.0,
-1,0.5Following,L,0.0,vv,60.0,
-1,0.5Following,L,0.0,hh,30.0,
-1,0.5Following,L,0.0,hh,40.0,
-1,0.5Following,L,0.0,hh,50.0,
-1,0.5Following,L,0.0,hh,60.0,
-1,0.5Following,L,90.0,vv,30.0,
-1,0.5Following,L,90.0,hh,30.0,
-1,0.5Following,L,180.0,vv,30.0,
-1,0.5Following,L,180.0,vv,40.0,
-1,0.5Following,L,180.0,vv,50.0,
-1,0.5Following,L,180.0,vv,60.0,
-1,0.5Following,L,180.0,hh,30.0,
-1,0.5Following,L,180.0,hh,40.0,
-1,0.5Following,L,180.0,hh,50.0,
-1,0.5Following,L,180.0,hh,60.0,
-1,0.5Following,L,270.0,vv,30.0,
-1,0.5Following,L,270.0,hh,30.0,
-1,1.0Head,L,0.0,vv,30.0,
-1,1.0Head,L,0.0,vv,40.0,
-1,1.0Head,L,0.0,vv,50.0,
-1,1.0Head,L,0.0,vv,60.0,
-1,1.0Head,L,0.0,hh,30.0,
-1,1.0Head,L,0.0,hh,40.0,
-1,1.0Head,L,0.0,hh,50.0,
-1,1.0Head,L,0.0,hh,60.0,
-1,1.0Head,L,90.0,vv,30.0,
-1,1.0Head,L,90.0,hh,30.0,
-1,1.0Head,L,180.0,vv,30.0,
-1,1.0Head,L,180.0,vv,40.0,
-1,1.0Head,L,180.0,vv,50.0,
-1,1.0Head,L,180.0,vv,60.0,
-1,1.0Head,L,180.0,hh,30.0,
-1,1.0Head,L,180.0,hh,40.0,
-1,1.0Head,L,180.0,hh,50.0,
-1,1.0Head,L,180.0,hh,60.0,
-1,1.0Head,L,270.0,vv,30.0,
-1,1.0Head,L,270.0,hh,30.0,
-1,1.0Following,L,0.0,vv,30.0,
-1,1.0Following,L,0.0,vv,40.0,
-1,1.0Following,L,0.0,vv,50.0,
-1,1.0Following,L,0.0,vv,60.0,
-1,1.0Following,L,0.0,hh,30.0,
-1,1.0Following,L,0.0,hh,40.0,
-1,1.0Following,L,0.0,hh,50.0,
-1,1.0Following,L,0.0,hh,60.0,
-1,1.0Following,L,90.0,vv,30.0,
-1,1.0Following,L,90.0,hh,30.0,
-1,1.0Following,L,180.0,vv,30.0,
-1,1.0Following,L,180.0,vv,40.0,
-1,1.0Following,L,180.0,vv,50.0,
-1,1.0Following,L,180.0,vv,60.0,
-1,1.0Following,L,180.0,hh,30.0,
-1,1.0Following,L,180.0,hh,40.0,
-1,1.0Following,L,180.0,hh,50.0,
-1,1.0Following,L,180.0,hh,60.0,
-1,1.0Following,L,270.0,vv,30.0,
-1,1.0Following,L,270.0,hh,30.0,
-1,1.5Head,L,0.0,vv,30.0,
-1,1.5Head,L,0.0,vv,40.0,
-1,1.5Head,L,0.0,vv,50.0,
-1,1.5Head,L,0.0,vv,60.0,
-1,1.5Head,L,0.0,hh,30.0,
-1,1.5Head,L,0.0,hh,40.0,
-1,1.5Head,L,0.0,hh,50.0,
-1,1.5Head,L,0.0,hh,60.0,
-1,1.5Head,L,90.0,vv,30.0,
-1,1.5Head,L,90.0,hh,30.0,
-1,1.5Head,L,180.0,vv,30.0,
-1,1.5Head,L,180.0,vv,40.0,
-1,1.5Head,L,180.0,vv,50.0,
-1,1.5Head,L,180.0,vv,60.0,
-1,1.5Head,L,180.0,hh,30.0,
-1,1.5Head,L,180.0,hh,40.0,
-1,1.5Head,L,180.0,hh,50.0,
-1,1.5Head,L,180.0,hh,60.0,
-1,1.5Head,L,270.0,vv,30.0,
-1,1.5Head,L,270.0,hh,30.0,
-1,1.5Following,L,0.0,vv,30.0,
-1,1.5Following,L,0.0,vv,40.0,
-1,1.5Following,L,0.0,vv,50.0,
-1,1.5Following,L,0.0,vv,60.0,
-1,1.5Following,L,0.0,hh,30.0,
-1,1.5Following,L,0.0,hh,40.0,
-1,1.5Following,L,0.0,hh,50.0,
-1,1.5Following,L,0.0,hh,60.0,
-1,1.5Following,L,90.0,vv,30.0,
-1,1.5Following,L,90.0,hh,30.0,
-1,1.5Following,L,180.0,vv,30.0,
-1,1.5Following,L,180.0,vv,40.0,
-1,1.5Following,L,180.0,vv,50.0,
-1,1.5Following,L,180.0,vv,60.0,
-1,1.5Following,L,180.0,hh,30.0,
-1,1.5Following,L,180.0,hh,40.0,
-1,1.5Following,L,180.0,hh,50.0,
-1,1.5Following,L,180.0,hh,60.0,
-1,1.5Following,L,270.0,vv,30.0,
-1,1.5Following,L,270.0,hh,30.0,
