uuid,run_name,band,look_angle,polarization,inclination_angle,contains_wake
0,0.0Calm,C,0.0,vv,30.0,0
1,0.0Calm,C,0.0,vv,40.0,0
2,0.0Calm,C,0.0,vv,50.0,0
3,0.0Calm,C,0.0,vv,60.0,0
4,0.0Calm,C,0.0,hh,30.0,0
5,0.0Calm,C,0.0,hh,40.0,0
6,0.0Calm,C,0.0,hh,50.0,0
7,0.0Calm,C,0.0,hh,60.0,0
8,0.0Calm,C,90.0,vv,30.0,0
9,0.0Calm,C,90.0,vv,40.0,0
10,0.0Calm,C,90.0,vv,50.0,0
11,0.0Calm,C,90.0,vv,60.0,0
12,0.0Calm,C,90.0,hh,30.0,0
13,0.0Calm,C,90.0,hh,40.0,0
14,0.0Calm,C,90.0,hh,50.0,0
15,0.0Calm,C,90.0,hh,60.0,0
16,0.0Calm,C,180.0,vv,30.0,0
17,0.0Calm,C,180.0,vv,40.0,0
18,0.0Calm,C,180.0,vv,50.0,0
19,0.0Calm,C,180.0,vv,60.0,0
20,0.0Calm,C,180.0,hh,30.0,0
21,0.0Calm,C,180.0,hh,40.0,0
22,0.0Calm,C,180.0,hh,50.0,0
23,0.0Calm,C,180.0,hh,60.0,0
24,0.0Calm,C,270.0,vv,30.0,0
25,0.0Calm,C,270.0,vv,40.0,0
26,0.0Calm,C,270.0,vv,50.0,0
27,0.0Calm,C,270.0,vv,60.0,0
28,0.0Calm,C,270.0,hh,30.0,0
29,0.0Calm,C,270.0,hh,40.0,0
30,0.0Calm,C,270.0,hh,50.0,0
31,0.0Calm,C,270.0,hh,60.0,0
32,0.5Head,C,0.0,vv,30.0,1
33,0.5Head,C,0.0,vv,40.0,1
34,0.5Head,C,0.0,vv,50.0,1
35,0.5Head,C,0.0,vv,60.0,1
36,0.5Head,C,0.0,hh,30.0,1
37,0.5Head,C,0.0,hh,40.0,1
38,0.5Head,C,0.0,hh,50.0,1
39,0.5Head,C,0.0,hh,60.0,1
40,0.5Head,C,90.0,vv,30.0,1
41,0.5Head,C,90.0,vv,40.0,1
42,0.5Head,C,90.0,vv,50.0,1
43,0.5Head,C,90.0,vv,60.0,1
